inn,org_id,company_name,year,revenue_2110,cost_2120,other_income_2340,other_expenses_2350,net_profit_2400,tax_2410,assets_1600,balance_total_1700
5263025484,2351279,"""БАЗИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,,0.0,0.0,0.0,0.0,0.0,14848.0,14849.0
5263025484,2351279,"""БАЗИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,0.0,16.0,167.0,2451.0,-1832.0,-468.0,14848.0,14848.0
5056003490,5971393,"""БЕРЕГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,,,,8.0,-8.0,,11210.0,11210.0
5056003490,5971393,"""БЕРЕГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,0.0,0.0,0.0,11.0,-47.0,0.0,11208.0,11208.0
5056003490,5971393,"""БЕРЕГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,49136.0,42305.0,860.0,743.0,3018.0,-755.0,12266.0,12266.0
5056003490,5971393,"""БЕРЕГ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,,,,24.0,-24.0,,8206.0,8206.0
2537042746,5442338,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2025,782.0,0.0,,158.0,,-624.0,65.0,65.0
2537042746,5442338,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,587.0,140.0,,108.0,,339.0,298.0,298.0
2537042746,5442338,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,,,,,,,571.0,571.0
2537042746,5442338,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,,,,,,,571.0,571.0
2537042746,5442338,"""БРИГ-С"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,0.0,,,,0.0,0.0,571.0,571.0
2537036693,7071983,"""ВИРАЖ-2000"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,2119.0,1439.0,0.0,28.0,533.0,119.0,2577.0,2577.0
2537036693,7071983,"""ВИРАЖ-2000"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,1770.0,1101.0,,28.0,202.0,-21.0,824.0,824.0
2537036693,7071983,"""ВИРАЖ-2000"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,1314.0,2228.0,,29.0,-1916.0,-16.0,633.0,633.0
2537036693,7071983,"""ВИРАЖ-2000"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,2545.0,920.0,0.0,39.0,444.0,-80.0,2499.0,2499.0
2537045144,3014633,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2025,3022.0,2814.0,,,208.0,,0.0,0.0
2537045144,3014633,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,1204.0,1123.0,,,81.0,0.0,339.0,339.0
2537045144,3014633,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,2600.0,3074.0,,,-479.0,5.0,461.0,461.0
2537045144,3014633,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,10211.0,9181.0,,,906.0,124.0,5579.0,5579.0
2537045144,3014633,"""ДОКАСТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,55.0,251.0,,,-196.0,,205.0,205.0
8617015322,3838591,"""ЗАПАДНО-СИБИРСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""",2024,5501.0,4657.0,9.0,598.0,64.0,191.0,10229.0,10229.0
8617015322,3838591,"""ЗАПАДНО-СИБИРСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""",2023,6067.0,5194.0,,570.0,71.0,232.0,10439.0,10439.0
8617015322,3838591,"""ЗАПАДНО-СИБИРСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""",2022,5670.0,4966.0,,502.0,94.0,108.0,10132.0,10132.0
8617015322,3838591,"""ЗАПАДНО-СИБИРСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""",2021,4783.0,4013.0,,552.0,46.0,172.0,9670.0,9670.0
5038038838,5872486,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2024,112540.0,95619.0,61039.0,80878.0,-20129.0,-191.0,768763.0,768763.0
5038038838,5872486,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2023,108966.0,90500.0,118813.0,138348.0,-20913.0,-248.0,804911.0,804911.0
5038038838,5872486,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2022,118633.0,83747.0,73137.0,64714.0,19518.0,-336.0,885623.0,885623.0
5038038838,5872486,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2021,184044.0,150023.0,366626.0,359753.0,3080.0,-320.0,959613.0,959613.0
5056003838,5974422,"""МУЛЬТИЦЕНТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,40144.0,22997.0,680.0,193.0,14085.0,3549.0,91462.0,91462.0
5056003838,5974422,"""МУЛЬТИЦЕНТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,35268.0,24946.0,187.0,393.0,8073.0,2043.0,80368.0,80368.0
5056003838,5974422,"""МУЛЬТИЦЕНТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,30694.0,21851.0,229.0,1291.0,6134.0,1567.0,74469.0,74469.0
5056003838,5974422,"""МУЛЬТИЦЕНТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,28341.0,16963.0,70.0,818.0,8244.0,2074.0,70709.0,70709.0
2010001590,397338,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2025,,,,20.0,-20.0,,180293.0,180293.0
2010001590,397338,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,,,,469.0,-469.0,,180313.0,180313.0
2010001590,397338,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,,,,18.0,-18.0,,180304.0,180304.0
2010001590,397338,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,,,,15.0,-143.0,,180322.0,180322.0
2010001590,397338,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,,,,21.0,-171.0,,181436.0,181436.0
5263036197,2363504,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2025,,,,,,,10.0,10.0
5263036197,2363504,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,,,,,,,10.0,10.0
5263036197,2363504,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,,,,,,,10.0,10.0
5263036197,2363504,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,,,,,,,10.0,10.0
5263036197,2363504,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,,,,,,,0.0,0.0
6829044025,570725,"""ПОДЪЁМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2024,5976.0,1649.0,,53.0,4104.0,170.0,12350.0,12350.0
6829044025,570725,"""ПОДЪЁМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2023,2933.0,1097.0,0.0,49.0,1684.0,103.0,8245.0,8245.0
6829044025,570725,"""ПОДЪЁМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2022,1687.0,1671.0,200.0,49.0,117.0,50.0,6536.0,6536.0
6829044025,570725,"""ПОДЪЁМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",2021,1634.0,1330.0,0.0,52.0,199.0,53.0,9281.0,9281.0
7708405920,11871713,"""РЕМОНТНИК""",2023,,,,,,,0.0,0.0
7708405920,11871713,"""РЕМОНТНИК""",2022,,,,,,,0.0,0.0
5027064466,5971768,"""РИЗВАН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,15916.0,12800.0,2486.0,2594.0,2531.0,477.0,27135.0,27135.0
5027064466,5971768,"""РИЗВАН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,12077.0,8017.0,2843.0,3070.0,3462.0,371.0,27626.0,27626.0
5027064466,5971768,"""РИЗВАН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,10940.0,7319.0,2307.0,2510.0,3090.0,328.0,24749.0,24749.0
5027064466,5971768,"""РИЗВАН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,9841.0,6925.0,2203.0,2376.0,2448.0,295.0,27076.0,27076.0
5263032347,2215508,"""СЕРВИС - СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2024,,,,,,,0.0,0.0
5263032347,2215508,"""СЕРВИС - СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2023,,,,,,,0.0,0.0
5263032347,2215508,"""СЕРВИС - СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2022,,,,,,,0.0,0.0
5263032347,2215508,"""СЕРВИС - СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",2021,,,,,,,0.0,0.0
